"INCIDENT_NUMBER","DATE_REPORTED","DATE_OCCURED","UOR_DESC","CRIME_TYPE","NIBRS_CODE","UCR_HIERARCHY","ATT_COMP","LMPD_DIVISION","LMPD_BEAT","PREMISE_TYPE","BLOCK_ADDRESS","CITY","ZIP_CODE","ID"
"80-17-010754","2017-02-06 16:06:00","2017-02-06 16:04:00","ASSAULT - 4TH DEGREE (NO VISIBLE INJURY)","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","211","RESIDENCE / HOME","400 BLOCK S 40TH ST                                         ","LOUISVILLE","40212","1194754"
"80-17-010934","2017-02-07 09:11:00","2017-02-07 08:59:00","TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000","VEHICLE BREAK-IN/THEFT","23F","PART I","COMPLETED","7TH DIVISION","712","PARKING LOT / GARAGE","8100 BLOCK OLD BARDSTOWN RD                                 ","LOUISVILLE","40291","1194755"
"80-17-010101","2017-02-03 21:29:00","2017-02-03 21:29:00","POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE)","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","CARLISLE AVE / TAYLOR BLVD                                  ","LOUISVILLE","40215","1194756"
"80-17-010114","2017-02-03 22:57:00","2017-02-03 22:57:00","DRUG PARAPHERNALIA - BUY/POSSESS","DRUGS/ALCOHOL VIOLATIONS","35B","PART II","COMPLETED","4TH DIVISION","423","RESIDENCE / HOME","1200 BLOCK LINCOLN AVE                                      ","LOUISVILLE","40208","1194757"
"80-17-011081","2017-02-08 10:00:45","2017-01-22 16:30:00","TBUT OR DISP SHOPLIFTING < $500","THEFT/LARCENY","23C","PART I","COMPLETED","8TH DIVISION","811","SPECIALTY STORE (TV, FUR, ETC)","5100 BLOCK NORTON HEALTHCARE BLVD                           ","LOUISVILLE","40241","1194758"
"80-17-011135","2017-02-08 14:46:14","2017-02-08 07:23:14","TBUT OR DISP AUTO > $500 BUT < $10,000","MOTOR VEHICLE THEFT","240","PART I","COMPLETED","3RD DIVISION","323","RESIDENCE / HOME","1500 BLOCK GLENGARRY DR                                     ","LOUISVILLE","40118","1194759"
"80-17-011138","2017-02-07 19:35:00","2017-02-07 19:00:00","TBUT OR DISP SHOPLIFTING < $500","THEFT/LARCENY","23C","PART I","COMPLETED","7TH DIVISION","735","DEPARTMENT / DISCOUNT STORE","4800 BLOCK OUTER LOOP                                       ","LOUISVILLE","40219","1194760"
"80-17-011145","2017-02-08 16:32:36","2017-02-08 14:16:36","TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000","VEHICLE BREAK-IN/THEFT","23F","PART I","COMPLETED","8TH DIVISION","823","PARKING LOT / GARAGE","700 BLOCK S ENGLISH STATION RD                              ","LOUISVILLE","40245","1194761"
"80-17-011157","2017-02-08 00:48:00","2017-01-09 00:00:00","TBUT OR DISP FIREARM","THEFT/LARCENY","23H","PART I","COMPLETED","7TH DIVISION","724","OTHER / UNKNOWN","10000 BLOCK JOHN SILVER CT                                  ","LOUISVILLE","40229","1194762"
"80-17-006843","2017-01-23 18:51:00","2017-01-23 18:40:00","TBUT OR DISP SHOPLIFTING < $500","THEFT/LARCENY","23C","PART I","COMPLETED","7TH DIVISION","735","DEPARTMENT / DISCOUNT STORE","4800 BLOCK OUTER LOOP                                       ","LOUISVILLE","40219","1194763"
"80-17-011217","2017-02-08 03:48:00","2017-02-08 03:48:00","DRUG PARAPHERNALIA - BUY/POSSESS","DRUGS/ALCOHOL VIOLATIONS","35B","PART II","COMPLETED","3RD DIVISION","315","HIGHWAY / ROAD / ALLEY","DIXIE HWY / STONESTREET RD                                  ","LOUISVILLE","40272","1194764"
"80-17-011224","2017-02-08 00:06:00","2017-02-08 00:06:00","LOITERING FOR PROSTITUTION PURPOSES - 1ST OFFENSE","DISTURBING THE PEACE","40A","PART II","COMPLETED","2ND DIVISION","223","HIGHWAY / ROAD / ALLEY","S 23RD ST / HALE AVE                                        ","LOUISVILLE","40210","1194765"
"80-17-010871","2017-02-07 03:47:00","2017-02-07 03:47:00","PRESCRIPTION CONT SUB NOT IN ORIGINAL CONTAINER-1ST OFFENSE","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","4TH DIVISION","423","RESIDENCE / HOME","800 BLOCK DENMARK ST                                        ","LOUISVILLE","40215","1194766"
"80-17-010871","2017-02-07 03:47:00","2017-02-07 03:47:00","POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE)","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","4TH DIVISION","423","RESIDENCE / HOME","800 BLOCK DENMARK ST                                        ","LOUISVILLE","40215","1194767"
"80-17-010871","2017-02-07 03:47:00","2017-02-07 03:47:00","DRUG PARAPHERNALIA - BUY/POSSESS","DRUGS/ALCOHOL VIOLATIONS","35B","PART II","COMPLETED","4TH DIVISION","423","RESIDENCE / HOME","800 BLOCK DENMARK ST                                        ","LOUISVILLE","40215","1194768"
"80-17-011187","2017-02-07 22:21:00","2017-02-07 22:21:00","POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE)","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","2ND DIVISION","223","HIGHWAY / ROAD / ALLEY","DIXIE HWY / ST LOUIS AVE                                    ","LOUISVILLE","40210","1194769"
"80-17-011004","2017-02-08 04:14:45","2017-02-08 01:52:45","THEFT OF PROP LOST/MISLAID/DELIVERED BY MISTAKE FELONY D","THEFT/LARCENY","23H","PART I","COMPLETED","1ST DIVISION","134","MALL / SHOPPING CENTER","1400 BLOCK MELLWOOD AVE                                     ","LOUISVILLE","40206","1194770"
"80-17-005006","2017-01-17 13:44:00","2017-01-17 12:40:00","THEFT BY DECEPTION-INCL COLD CHECKS U/$500","THEFT/LARCENY","23H","PART I","COMPLETED","8TH DIVISION","824","RESTAURANT","11800 BLOCK SHELBYVILLE RD                                  ","MIDDLETOWN","40243","1194771"
"80-17-009936","2017-02-03 16:09:00","2017-02-03 16:09:00","POSS CONT SUB-3RD DEGREE--DRUG UNSPECIFIED","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","GOSS AVE / LOGAN ST                                         ","LOUISVILLE","40204","1194772"
"80-17-011072","2017-02-07 16:51:00","2017-02-07 15:00:00","HARASSMENT (NO PHYSICAL CONTACT)","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","RESIDENCE / HOME","500 BLOCK S 5TH ST                                          ","LOUISVILLE","40202","1194773"
"80-17-011252","2017-02-08 08:09:00","2017-02-08 08:00:00","TBUT OR DISP AUTO > $500 BUT < $10,000","MOTOR VEHICLE THEFT","240","PART I","COMPLETED","2ND DIVISION","211","HIGHWAY / ROAD / ALLEY","3800 BLOCK NORTHWESTERN PKY                                 ","LOUISVILLE","40212","1194774"
"80-17-011249","2017-02-08 08:15:00","2017-02-07 13:30:00","TBUT OR DISP ALL OTHERS  $10,000 OR > BUT < $1,000,000","FRAUD","270","PART II","COMPLETED","5TH DIVISION","525","CONSTRUCTION SITE","3700 BLOCK FRANKFORT AVE                                    ","LOUISVILLE","40207","1194775"
"80-17-011257","2017-02-08 08:36:00","2017-02-07 23:30:00","TBUT OR DISP AUTO > $10,000 BUT < $1,000,000","MOTOR VEHICLE THEFT","240","PART I","COMPLETED","3RD DIVISION","331","PARKING LOT / GARAGE","3300 BLOCK RENWOOD BLVD                                     ","LOUISVILLE","40214","1194776"
"80-17-010161","2017-02-04 07:45:00","2017-02-04 07:38:00","DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT","OTHER","90Z","PART II","COMPLETED","4TH DIVISION","424","RESIDENCE / HOME","100 BLOCK E WHITNEY AVE                                     ","LOUISVILLE","40214","1194777"
"80-17-010663","2017-02-06 10:54:00","2017-02-06 10:40:00","DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT","OTHER","90Z","PART II","COMPLETED","6TH DIVISION","612","RESIDENCE / HOME","5600 BLOCK CRABAPPLE CT                                     ","LOUISVILLE","40219","1194778"
"80-17-006675","2017-01-23 10:57:00","2017-01-23 10:57:00","REPORT NUMBER NOT REQUIRED","OTHER","999","","ATTEMPTED","7TH DIVISION","723","AIR / BUS / TRAIN TERMINAL","7200 BLOCK OUTER LOOP                                       ","LOUISVILLE","40228","1194779"
"80-17-009700","2017-02-02 23:53:00","2017-02-02 23:35:00","DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT","OTHER","90Z","PART II","COMPLETED","4TH DIVISION","436","RESIDENCE / HOME","500 BLOCK SCHOOL WAY                                        ","LOUISVILLE","40214","1194780"
"80-17-004399","2017-01-15 13:05:00","2017-01-15 13:05:00","REPORT NUMBER NOT REQUIRED","OTHER","999","","COMPLETED","2ND DIVISION","211","OTHER / UNKNOWN","3900 BLOCK W MARKET ST                                      ","LOUISVILLE","40212","1194781"
"80-17-011271","2017-02-08 09:44:00","2017-02-07 20:30:00","TBUT OR DISP AUTO < $500","MOTOR VEHICLE THEFT","240","PART I","ATTEMPTED","3RD DIVISION","331","PARKING LOT / GARAGE","3300 BLOCK RENWOOD BLVD                                     ","LOUISVILLE","40214","1194782"
"80-17-010101","2017-02-03 21:29:00","2017-02-03 21:29:00","DRUG PARAPHERNALIA - BUY/POSSESS","DRUGS/ALCOHOL VIOLATIONS","35B","PART II","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","CARLISLE AVE / TAYLOR BLVD                                  ","LOUISVILLE","40215","1194783"
"80-17-006828","2017-01-23 17:10:00","2017-01-23 17:10:00","REPORT NUMBER NOT REQUIRED","OTHER","999","","COMPLETED","7TH DIVISION","735","RESIDENCE / HOME","8000 BLOCK CEDAR BROOK DR                                   ","LOUISVILLE","40219","1194784"
"80-17-010221","2017-02-04 12:45:00","2017-02-04 12:18:00","DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT","OTHER","90Z","PART II","COMPLETED","6TH DIVISION","624","RESIDENCE / HOME","3900 BLOCK BRISTOL OAKS DR                                  ","LOUISVILLE","40299","1194785"
"80-17-010580","2017-02-05 23:01:00","2017-02-05 23:01:00","WANTON ENDANGERMENT-1ST DEGREE","ASSAULT","13A","PART I","COMPLETED","6TH DIVISION","625","RESIDENCE / HOME","3300 BLOCK TERRIER LN                                       ","LOUISVILLE","40218","1194786"
"80-17-010122","2017-02-03 23:54:00","2017-02-03 23:54:00","POSS CONT SUB-3RD DEGREE--DRUG UNSPECIFIED","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","3RD DIVISION","323","OTHER RESIDENCE (APARTMENT/CONDO)","6300 BLOCK COMMERCE PARK CT                                 ","LOUISVILLE","40118","1194787"
"80-17-010122","2017-02-03 23:54:00","2017-02-03 23:54:00","CARRYING A CONCEALED DEADLY WEAPON","WEAPONS","520","PART II","COMPLETED","3RD DIVISION","323","OTHER RESIDENCE (APARTMENT/CONDO)","6300 BLOCK COMMERCE PARK CT                                 ","LOUISVILLE","40118","1194788"
"80-17-010323","2017-02-04 18:37:00","2017-02-04 18:37:00","DRUG PARAPHERNALIA - BUY/POSSESS","DRUGS/ALCOHOL VIOLATIONS","35B","PART II","COMPLETED","2ND DIVISION","225","OTHER / UNKNOWN","1500 BLOCK ALGONQUIN PKY                                    ","LOUISVILLE","40210","1194789"
"03-17-000249","2017-01-25 11:49:00","2017-01-25 11:49:00","TBUT OR DISP SHOPLIFTING < $500","THEFT/LARCENY","23C","PART I","COMPLETED","METRO LOUISVILLE","STMA","DEPARTMENT / DISCOUNT STORE","5000 BLOCK SHELBYVILLE RD                                   ","ST_MATTHEWS","40207","1194790"
"80-17-010984","2017-02-07 13:05:00","2017-02-07 03:15:00","TBUT OR DISP FROM BLDG $500 OR > BUT < $10,000","THEFT/LARCENY","23D","PART I","COMPLETED","2ND DIVISION","223","RESIDENCE / HOME","1000 BLOCK S 32ND ST                                        ","LOUISVILLE","40211","1194791"
"80-17-010988","2017-02-07 13:02:00","2017-02-07 12:50:00","TBUT OR DISP SHOPLIFTING < $500","THEFT/LARCENY","23C","PART I","COMPLETED","4TH DIVISION","424","GROCERY / SUPERMARKET","4200 BLOCK S 3RD ST                                         ","LOUISVILLE","40214","1194792"
"80-17-010581","2017-02-05 22:07:00","2017-02-05 22:07:00","DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT","OTHER","90Z","PART II","COMPLETED","2ND DIVISION","211","RESIDENCE / HOME","200 BLOCK N 35TH ST                                         ","LOUISVILLE","40212","1194793"
"80-17-009512","2017-02-02 12:16:00","2017-02-02 12:16:00","DRUG PARAPHERNALIA - BUY/POSSESS","DRUGS/ALCOHOL VIOLATIONS","35B","PART II","COMPLETED","2ND DIVISION","236","HIGHWAY / ROAD / ALLEY","CANE RUN RD / SHANKS LN                                     ","LOUISVILLE","40216","1194794"
"80-17-010996","2017-02-08 03:38:08","2017-02-06 00:00:00","FRAUDULENT USE OF CREDIT CARDS U/$500 W/6 MO PERIOD","FRAUD","26B","PART II","COMPLETED","6TH DIVISION","612","SERVICE / GAS STATION","4500 BLOCK POPLAR LEVEL RD                                  ","LOUISVILLE","40213","1194795"
"80-17-011002","2017-02-08 04:02:39","2017-02-05 00:00:00","FRAUDULENT USE OF CREDIT CARDS U/$500 W/6 MO PERIOD","FRAUD","26B","PART II","COMPLETED","3RD DIVISION","322","SERVICE / GAS STATION","6800 BLOCK SOUTHSIDE DR                                     ","LOUISVILLE","40214","1194796"
"80-17-011003","2017-02-08 04:10:29","2017-02-06 10:00:00","TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000","VEHICLE BREAK-IN/THEFT","23F","PART I","COMPLETED","5TH DIVISION","521","RESIDENCE / HOME","200 BLOCK KENNEDY AVE                                       ","LOUISVILLE","40206","1194797"
"80-17-010589","2017-02-05 23:54:00","2017-02-05 23:54:00","DRUG PARAPHERNALIA - BUY/POSSESS","DRUGS/ALCOHOL VIOLATIONS","35B","PART II","COMPLETED","6TH DIVISION","625","PARKING LOT / GARAGE","3000 BLOCK MID DALE LN                                      ","LOUISVILLE","40220","1194798"
"80-17-010589","2017-02-05 23:54:00","2017-02-05 23:54:00","CARRYING A CONCEALED DEADLY WEAPON","WEAPONS","520","PART II","COMPLETED","6TH DIVISION","625","PARKING LOT / GARAGE","3000 BLOCK MID DALE LN                                      ","LOUISVILLE","40220","1194799"
"80-17-009172","2017-02-01 08:56:00","2017-02-01 03:46:00","VIOLATION OF KENTUCKY EPO/DVO","ASSAULT","90F","PART II","COMPLETED","1ST DIVISION","123","BANK / SAVINGS & LOAN","500 BLOCK W JEFFERSON ST                                    ","LOUISVILLE","40202","1194800"
"80-17-010124","2017-02-04 00:42:00","2017-02-04 00:42:00","POSS OF MARIJUANA","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","4TH DIVISION","436","HIGHWAY / ROAD / ALLEY","100 BLOCK OTTAWA AVE                                        ","LOUISVILLE","40214","1194801"
"80-17-010377","2017-02-05 01:10:00","2017-02-05 01:10:00","POSS OF MARIJUANA","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","I264W AT TAYLOR BLVD                                        ","LOUISVILLE","40215","1194802"
"80-17-009108","2017-01-31 22:26:00","2017-01-31 22:25:00","CRIMINAL MISCHIEF-3RD DEGREE","VANDALISM","290","PART II","COMPLETED","7TH DIVISION","711","OTHER RESIDENCE (APARTMENT/CONDO)","9700 BLOCK HUDSON LN                                        ","LOUISVILLE","40291","1194803"
"80-17-010123","2017-02-04 00:25:00","2017-02-04 00:25:00","POSS OF MARIJUANA","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","5TH DIVISION","514","PARKING LOT / GARAGE","3000 BLOCK BARDSTOWN RD                                     ","LOUISVILLE","40205","1194804"
"80-17-010614","2017-02-06 07:10:00","2017-02-06 07:05:00","ANY NON CRIMINAL CHARGE NOT COVERED BY THESE CODES","OTHER","90Z","PART II","COMPLETED","6TH DIVISION","613","INDUSTRIAL SITE","4000 BLOCK PRODUCE RD                                       ","LOUISVILLE","40218","1194805"
"80-17-010405","2017-02-05 04:27:00","2017-02-05 04:23:00","MISSING PERSONS","OTHER","90Z","PART II","COMPLETED","1ST DIVISION","134","OTHER RESIDENCE (APARTMENT/CONDO)","1100 BLOCK E MARKET ST                                      ","LOUISVILLE","40206","1194806"
"80-17-010660","2017-02-06 10:49:00","2017-02-03 00:01:00","TERRORISTIC THREATENING 3RD DEGREE","ASSAULT","13C","PART II","COMPLETED","3RD DIVISION","315","INDUSTRIAL SITE","9000 BLOCK CANE RUN RD                                      ","LOUISVILLE","40258","1194807"
"80-17-010687","2017-02-07 01:54:46","2017-02-06 23:27:46","TBUT OR DISP FROM BUILDING < $500","THEFT/LARCENY","23D","PART I","COMPLETED","8TH DIVISION","811","GROCERY / SUPERMARKET","10600 BLOCK WESTPORT RD                                     ","LOUISVILLE","40241","1194808"
"80-17-010404","2017-02-05 04:27:00","2017-02-05 04:23:00","MISSING PERSONS","OTHER","90Z","PART II","COMPLETED","1ST DIVISION","134","OTHER RESIDENCE (APARTMENT/CONDO)","1100 BLOCK E MARKET ST                                      ","LOUISVILLE","40206","1194809"
"80-17-010626","2017-02-06 08:32:00","2017-02-05 22:00:00","CRIMINAL MISCHIEF-2ND DEGREE","VANDALISM","290","PART II","COMPLETED","5TH DIVISION","512","RESIDENCE / HOME","1000 BLOCK BAXTER AVE                                       ","LOUISVILLE","40204","1194810"
"80-17-010102","2017-02-03 21:34:00","2017-02-03 21:34:00","POSS OF MARIJUANA","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","4TH DIVISION","424","HIGHWAY / ROAD / ALLEY","2500 BLOCK S 4TH ST                                         ","LOUISVILLE","40208","1194811"
"80-17-009850","2017-02-03 13:31:00","2017-02-03 13:31:00","POSS OF MARIJUANA","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","5TH DIVISION","514","HIGHWAY / ROAD / ALLEY","BARDSTOWN RD / EMERSON AVE                                  ","STRATHMOOR_MANOR","40205","1194812"
"80-17-010672","2017-02-06 11:51:00","2017-02-01 11:51:00","TBUT OR DISP ALL OTHERS > $500 BUT < $10,000","THEFT/LARCENY","23H","PART I","COMPLETED","4TH DIVISION","436","RESIDENCE / HOME","5000 BLOCK SOUTHSIDE DR                                     ","LOUISVILLE","40214","1194813"
"80-17-009924","2017-02-03 15:57:00","2017-02-03 13:00:00","TBUT OR DISP FROM BUILDING < $500","THEFT/LARCENY","23D","PART I","COMPLETED","7TH DIVISION","723","SCHOOL - ELEMENTARY / SECONDARY","6400 BLOCK OUTER LOOP                                       ","LOUISVILLE","40228","1194814"
"80-17-009394","2017-02-01 23:11:00","2017-02-01 23:11:00","TRAF IN CONT SUBST 1ST DEG 1ST OFFENSE (>= 2 GMS METH","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","3RD DIVISION","331","RESIDENCE / HOME","7200 BLOCK GREEN OAK DR                                     ","LOUISVILLE","40258","1194815"
"80-17-009394","2017-02-01 23:11:00","2017-02-01 23:11:00","TRAF CONT SUB-1ST DEG 1ST OFF (>= 4 GRAMS COCAINE)","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","3RD DIVISION","331","RESIDENCE / HOME","7200 BLOCK GREEN OAK DR                                     ","LOUISVILLE","40258","1194816"
"80-17-009432","2017-02-03 14:35:00","2017-02-03 14:34:00","ASSAULT - 2ND DEGREE","ASSAULT","13A","PART I","COMPLETED","5TH DIVISION","513","HIGHWAY / ROAD / ALLEY","BARDSTOWN RD / DOUGLASS BLVD                                ","LOUISVILLE","40205","1194817"
"80-17-010709","2017-02-07 04:26:15","2017-02-02 19:40:00","TBUT OR DISP FROM BUILDING < $500","THEFT/LARCENY","23D","PART I","COMPLETED","4TH DIVISION","423","DRUG STORE/DR`S OFFICE/HOSPITAL","3900 BLOCK 7TH STREET RD                                    ","LOUISVILLE","40216","1194819"
"80-17-010695","2017-02-06 12:49:00","2017-02-06 12:40:00","ASSAULT - 2ND DEGREE","ASSAULT","13A","PART I","COMPLETED","6TH DIVISION","624","RESIDENCE / HOME","4800 BLOCK FEGENBUSH LN                                     ","LOUISVILLE","40228","1194820"
"80-17-010695","2017-02-06 12:49:00","2017-02-06 12:40:00","CRIMINAL MISCHIEF-3RD DEGREE","VANDALISM","290","PART II","COMPLETED","6TH DIVISION","624","RESIDENCE / HOME","4800 BLOCK FEGENBUSH LN                                     ","LOUISVILLE","40228","1194821"
"80-17-009540","2017-02-02 12:51:00","2017-02-02 12:51:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","2ND DIVISION","223","OTHER / UNKNOWN","S 13TH ST / W BROADWAY                                      ","LOUISVILLE","40203","1194822"
"80-17-010707","2017-02-06 13:44:00","2017-02-05 19:00:00","BURGLARY - 2ND DEGREE","BURGLARY","220","PART I","COMPLETED","4TH DIVISION","412","RESIDENCE / HOME","600 BLOCK E OAK ST                                          ","LOUISVILLE","40203","1194823"
"80-17-010235","2017-02-04 12:35:00","2017-02-04 12:35:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","315","RESIDENCE / HOME","8400 BLOCK ROBBINS RD                                       ","LOUISVILLE","40258","1194824"
"80-17-010395","2017-02-05 02:04:00","2017-02-05 02:04:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","316","RESIDENCE / HOME","11500 BLOCK LOWER RIVER RD                                  ","LOUISVILLE","40272","1194826"
"80-17-010095","2017-02-03 20:56:00","2017-02-03 20:56:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","ASSAULT","13B","PART II","COMPLETED","6TH DIVISION","625","OTHER RESIDENCE (APARTMENT/CONDO)","3300 BLOCK BRECKENRIDGE LN                                  ","LOUISVILLE","40220","1194827"
"80-17-010489","2017-02-05 15:04:00","2017-02-05 15:00:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","ASSAULT","13B","PART II","COMPLETED","6TH DIVISION","624","RESIDENCE / HOME","5900 BLOCK BLUFFINGTON CT                                   ","LOUISVILLE","40291","1194828"
"80-17-010147","2017-02-04 03:30:00","2017-02-04 03:30:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","334","RESIDENCE / HOME","9800 BLOCK HOLIDAY DR                                       ","LOUISVILLE","40272","1194831"
"80-17-010445","2017-02-05 11:42:00","2017-02-05 11:42:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","424","RESIDENCE / HOME","500 BLOCK WINKLER AVE                                       ","LOUISVILLE","40208","1194832"
"80-17-010722","2017-02-07 05:34:18","2017-02-05 18:30:00","CRIMINAL MISCHIEF-3RD DEGREE","VANDALISM","290","PART II","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","1100 BLOCK SAMUEL ST                                        ","LOUISVILLE","40204","1194833"
"80-17-010336","2017-02-04 20:51:00","2017-02-04 20:51:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","112","RESIDENCE / HOME","2000 BLOCK MAGAZINE ST                                      ","LOUISVILLE","40203","1194834"
"80-17-010103","2017-02-03 22:00:00","2017-02-03 21:15:00","VIOLATION OF KENTUCKY EPO/DVO","ASSAULT","90F","PART II","COMPLETED","8TH DIVISION","815","RESIDENCE / HOME","700 BLOCK NOTTINGHAM PKY                                    ","HURSTBOURNE","40222","1194835"
"80-17-010698","2017-02-06 08:58:00","2017-02-06 08:58:00","POSSESSION OF DEFACED FIREARM","WEAPONS","520","PART II","COMPLETED","5TH DIVISION","521","OTHER RESIDENCE (APARTMENT/CONDO)","200 BLOCK S BIRCHWOOD AVE                                   ","LOUISVILLE","40206","1194836"
"80-17-010367","2017-02-04 23:16:00","2016-02-04 23:16:00","CRIMINAL MISCHIEF - 1ST DEGREE","VANDALISM","290","PART II","COMPLETED","3RD DIVISION","331","HIGHWAY / ROAD / ALLEY","UPPER HUNTERS TRCE/WELLSWORTH AVE                           ","","","1194837"
"80-17-009955","2017-02-03 17:19:00","2017-02-03 16:35:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","225","OTHER RESIDENCE (APARTMENT/CONDO)","1600 BLOCK MOORE CT                                         ","LOUISVILLE","40210","1194838"
"80-17-010112","2017-02-03 22:48:00","2017-02-03 22:40:00","CRIMINAL MISCHIEF-3RD DEGREE","VANDALISM","290","PART II","COMPLETED","4TH DIVISION","412","PARKING LOT / GARAGE","ARTHUR ST / E LEE ST                                        ","LOUISVILLE","40208","1194839"
"80-17-009870","2017-02-03 14:46:00","2017-02-01 14:46:00","TERRORISTIC THREATENING 3RD DEGREE","ASSAULT","13C","PART II","COMPLETED","7TH DIVISION","723","CYBERSPACE","7200 BLOCK OUTER LOOP                                       ","LOUISVILLE","40228","1194840"
"80-17-010745","2017-02-06 15:24:00","2017-02-06 08:30:00","TERRORISTIC THREATENING 1ST DEGREE","ASSAULT","13C","PART II","COMPLETED","8TH DIVISION","815","COMMERCIAL / OFFICE BUILDING","9500 BLOCK ORMSBY STATION RD                                ","LYNDON","40223","1194841"
"80-17-010757","2017-02-07 09:32:36","2017-02-05 18:00:00","CRIMINAL MISCHIEF-3RD DEGREE","VANDALISM","290","PART II","COMPLETED","4TH DIVISION","436","RESIDENCE / HOME","100 BLOCK W AMHERST AVE                                     ","LOUISVILLE","40214","1194842"
"80-17-010737","2017-02-06 15:50:00","2017-02-06 15:00:00","TBUT OR DISP ALL OTHERS > $500 BUT < $10,000","THEFT/LARCENY","23H","PART I","COMPLETED","6TH DIVISION","612","SERVICE / GAS STATION","4300 BLOCK PRESTON HWY                                      ","LOUISVILLE","40213","1194843"
"80-17-010756","2017-02-06 16:15:00","2017-01-30 16:15:00","BURGLARY - 3RD DEGREE","BURGLARY","220","PART I","COMPLETED","5TH DIVISION","521","OTHER RESIDENCE (APARTMENT/CONDO)","2700 BLOCK RIEDLING DR                                      ","LOUISVILLE","40206","1194844"
"80-17-010653","2017-02-06 09:31:00","2017-02-06 09:31:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","5TH DIVISION","521","OTHER / UNKNOWN","RIVER RD / ZORN AVE                                         ","LOUISVILLE","40207","1194845"
"80-17-010764","2017-02-06 16:42:00","2017-02-05 16:42:00","BURGLARY - 2ND DEGREE","BURGLARY","220","PART I","COMPLETED","2ND DIVISION","236","RESIDENCE / HOME","3800 BLOCK RALPH AVE                                        ","LOUISVILLE","40211","1194846"
"80-17-010022","2017-02-03 19:18:00","2017-02-03 19:18:00","DRUG PARAPHERNALIA - BUY/POSSESS","DRUGS/ALCOHOL VIOLATIONS","35B","PART II","COMPLETED","4TH DIVISION","424","HIGHWAY / ROAD / ALLEY","S 4TH ST / CENTRAL AVE                                      ","LOUISVILLE","40208","1194849"
